snow_depth,snow_water_equivalent,elevation_band,elevation,month,year,state
25,6.4,7,7700,01,10,az
62,17.8,7,7700,02,10,az
73,22.7,7,7700,03,10,az
67,27.7,7,7700,04,10,az
33,15.7,7,7700,05,10,az
,0.0,7,7700,06,10,az
29,7.6,7,7700,01,11,az
23,7.2,7,7700,02,11,az
43,12.9,7,7700,03,11,az
34,13.4,7,7700,04,11,az
0,0.0,7,7700,05,11,az
0,0.0,7,7700,06,11,az
28,8.1,7,7700,01,12,az
27,8.5,7,7700,02,12,az
30,9.3,7,7700,03,12,az
29,10.6,7,7700,04,12,az
0,0.0,7,7700,05,12,az
0,0.0,7,7700,06,12,az
27,5.9,7,7700,01,13,az
20,7.1,7,7700,02,13,az
32,10.5,7,7700,03,13,az
28,10.8,7,7700,04,13,az
0,0.0,7,7700,05,13,az
0,0.0,7,7700,06,13,az
20,4.9,7,7700,01,14,az
15,5.1,7,7700,02,14,az
11,4.6,7,7700,03,14,az
8,2.8,7,7700,04,14,az
0,0.0,7,7700,05,14,az
0,0.0,7,7700,06,14,az
22,3.5,7,7700,01,15,az
7,3.2,7,7700,02,15,az
12,5.1,7,7700,03,15,az
0,0.0,7,7700,04,15,az
0,0.0,7,7700,05,15,az
0,0.0,7,7700,06,15,az
14,4.1,7,7700,01,16,az
31,9.9,7,7700,02,16,az
26,9.0,7,7700,03,16,az
15,5.7,7,7700,04,16,az
0,0.0,7,7700,05,16,az
0,0.0,7,7700,06,16,az
,0.3,9,9125,01,00,az
,0.0,9,9125,02,00,az
,0.5,9,9125,03,00,az
,0.0,9,9125,04,00,az
,0.0,9,9125,05,00,az
,0.0,9,9125,06,00,az
,4.3,9,9125,01,01,az
,6.6,9,9125,02,01,az
,9.2,9,9125,03,01,az
,6.4,9,9125,04,01,az
,0.0,9,9125,05,01,az
,0.0,9,9125,06,01,az
,2.9,9,9125,01,02,az
,3.9,9,9125,02,02,az
,3.5,9,9125,03,02,az
,0.0,9,9125,04,02,az
,0.0,9,9125,05,02,az
,0.0,9,9125,06,02,az
14,3.6,9,9125,01,03,az
11,4.1,9,9125,02,03,az
34,8.0,9,9125,03,03,az
16,7.4,9,9125,04,03,az
0,0.0,9,9125,05,03,az
0,0.0,9,9125,06,03,az
3,1.5,9,9125,01,04,az
16,3.5,9,9125,02,04,az
20,5.8,9,9125,03,04,az
0,0.0,9,9125,04,04,az
1,0.0,9,9125,05,04,az
0,0.0,9,9125,06,04,az
5,2.8,9,9125,01,05,az
24,6.9,9,9125,02,05,az
37,11.3,9,9125,03,05,az
30,9.9,9,9125,04,05,az
0,0.0,9,9125,05,05,az
0,0.0,9,9125,06,05,az
0,0.0,9,9125,01,06,az
3,1.1,9,9125,02,06,az
0,0.0,9,9125,03,06,az
1,0.9,9,9125,04,06,az
,0.0,9,9125,05,06,az
0,0.0,9,9125,06,06,az
3,1.0,9,9125,01,07,az
18,3.6,9,9125,02,07,az
19,5.6,9,9125,03,07,az
1,0.0,9,9125,04,07,az
1,0.0,9,9125,05,07,az
0,0.0,9,9125,06,07,az
17,4.0,9,9125,01,08,az
34,8.8,9,9125,02,08,az
34,11.5,9,9125,03,08,az
7,1.7,9,9125,04,08,az
0,0.0,9,9125,05,08,az
0,0.0,9,9125,06,08,az
29,7.4,9,9125,01,09,az
25,8.1,9,9125,02,09,az
21,9.1,9,9125,03,09,az
1,0.6,9,9125,04,09,az
0,0.0,9,9125,05,09,az
0,0.0,9,9125,06,09,az
21,3.8,9,9125,01,10,az
57,12.7,9,9125,02,10,az
49,14.2,9,9125,03,10,az
37,15.2,9,9125,04,10,az
0,0.0,9,9125,05,10,az
0,0.0,9,9125,06,10,az
22,3.0,9,9125,01,11,az
15,3.5,9,9125,02,11,az
17,5.3,9,9125,03,11,az
0,0.0,9,9125,04,11,az
0,0.0,9,9125,05,11,az
0,0.0,9,9125,06,11,az
17,4.7,9,9125,01,12,az
20,6.2,9,9125,02,12,az
17,6.0,9,9125,03,12,az
0,0.0,9,9125,04,12,az
0,0.0,9,9125,05,12,az
0,0.0,9,9125,06,12,az
17,3.7,9,9125,01,13,az
22,5.8,9,9125,02,13,az
28,7.5,9,9125,03,13,az
0,0.0,9,9125,04,13,az
0,0.0,9,9125,05,13,az
0,0.0,9,9125,06,13,az
9,2.6,9,9125,01,14,az
7,2.9,9,9125,02,14,az
2,0.3,9,9125,03,14,az
0,0.0,9,9125,04,14,az
0,0.0,9,9125,05,14,az
0,0.0,9,9125,06,14,az
7,1.2,9,9125,01,15,az
13,4.4,9,9125,02,15,az
3,2.1,9,9125,03,15,az
0,0.0,9,9125,04,15,az
0,0.0,9,9125,05,15,az
0,0.0,9,9125,06,15,az
11,2.4,9,9125,01,16,az
16,4.5,9,9125,02,16,az
0,0.0,9,9125,03,16,az
0,0.0,9,9125,04,16,az
0,0.0,9,9125,05,16,az
0,0.0,9,9125,06,16,az
15,3.8,6,6393,01,13,az
4,1.7,6,6393,02,13,az
2,1.0,6,6393,03,13,az
0,0.0,6,6393,04,13,az
0,0.0,6,6393,05,13,az
0,0.0,6,6393,06,13,az
3,1.5,6,6393,01,14,az
1,0.3,6,6393,02,14,az
1,0.1,6,6393,03,14,az
0,0.0,6,6393,04,14,az
0,0.0,6,6393,05,14,az
0,0.0,6,6393,06,14,az
10,1.2,6,6393,01,15,az
0,0.0,6,6393,02,15,az
0,0.0,6,6393,03,15,az
0,0.0,6,6393,04,15,az
0,0.0,6,6393,05,15,az
0,0.0,6,6393,06,15,az
6,1.8,6,6393,01,16,az
10,4.3,6,6393,02,16,az
0,0.0,6,6393,03,16,az
0,0.0,6,6393,04,16,az
0,0.0,6,6393,05,16,az
0,0.0,6,6393,06,16,az
2,0.2,7,8000,01,00,az
0,0.0,7,8000,01,00,az
0,0.0,7,8000,02,00,az
1,0.2,7,8000,03,00,az
0,0.0,7,8000,01,01,az
8,1.5,7,8000,02,01,az
5,1.0,7,8000,03,01,az
0,0.0,7,8000,03,01,az
4,0.6,7,8000,02,02,az
0,0.0,7,8000,02,02,az
0,0.0,7,8000,03,02,az
8,2.3,7,8000,01,03,az
0,0.0,7,8000,01,03,az
14,2.7,7,8000,03,03,az
0,0.0,7,8000,04,03,az
6,1.3,7,8000,01,04,az
12,2.9,7,8000,02,04,az
0,0.0,7,8000,03,04,az
8,3.4,7,8000,02,05,az
5,1.4,7,8000,02,05,az
0,0.0,7,8000,03,05,az
1,0.2,7,8000,01,06,az
0,0.0,7,8000,02,06,az
0,0.0,7,8000,03,06,az
13,2.2,7,8000,01,07,az
4,1.3,7,8000,02,07,az
0,0.0,7,8000,04,07,az
14,3.8,7,8000,01,08,az
4,1.2,7,8000,01,09,az
1,0.4,7,8000,02,09,az
0,0.0,7,8000,03,09,az
36,9.5,7,8000,01,10,az
28,8.4,7,8000,02,10,az
14,5.3,7,8000,03,10,az
10,2.1,7,8000,01,12,az
2,0.5,7,8000,01,12,az
4,1.0,7,8000,02,12,az
0,0.0,7,8000,03,12,az
4,1.3,7,8000,01,13,az
3,0.8,7,8000,02,13,az
0,0.0,7,8000,04,13,az
0,0.0,7,8000,01,14,az
0,0.0,7,8000,02,14,az
0,0.0,7,8000,03,14,az
5,1.2,7,8000,01,15,az
0,0.0,7,8000,02,15,az
0,0.0,7,8000,03,15,az
,0.0,7,7990,01,00,az
,0.0,7,7990,02,00,az
,0.0,7,7990,03,00,az
,0.0,7,7990,04,00,az
,0.0,7,7990,05,00,az
,0.0,7,7990,06,00,az
,0.0,7,7990,01,01,az
,1.9,7,7990,02,01,az
,2.8,7,7990,03,01,az
,0.0,7,7990,04,01,az
,0.0,7,7990,05,01,az
,0.0,7,7990,06,01,az
4,0.5,7,7990,01,02,az
9,1.6,7,7990,02,02,az
,0.0,7,7990,03,02,az
0,0.0,7,7990,04,02,az
0,0.0,7,7990,05,02,az
0,0.0,7,7990,06,02,az
12,2.2,7,7990,01,03,az
7,2.4,7,7990,02,03,az
19,4.5,7,7990,03,03,az
1,0.0,7,7990,04,03,az
0,0.0,7,7990,05,03,az
0,0.0,7,7990,06,03,az
4,1.7,7,7990,01,04,az
9,1.5,7,7990,02,04,az
18,3.7,7,7990,03,04,az
0,0.0,7,7990,04,04,az
0,0.0,7,7990,05,04,az
0,0.0,7,7990,06,04,az
7,3.0,7,7990,01,05,az
16,5.6,7,7990,02,05,az
19,6.3,7,7990,03,05,az
8,3.4,7,7990,04,05,az
1,0.0,7,7990,05,05,az
0,0.0,7,7990,06,05,az
0,0.0,7,7990,01,06,az
2,0.9,7,7990,02,06,az
0,0.0,7,7990,03,06,az
0,0.0,7,7990,04,06,az
0,0.0,7,7990,05,06,az
0,0.0,7,7990,06,06,az
4,1.9,7,7990,01,07,az
16,5.1,7,7990,02,07,az
13,6.3,7,7990,03,07,az
3,1.7,7,7990,04,07,az
0,0.0,7,7990,05,07,az
0,0.0,7,7990,06,07,az
13,2.7,7,7990,01,08,az
17,4.8,7,7990,02,08,az
19,7.6,7,7990,03,08,az
0,0.0,7,7990,04,08,az
0,0.0,7,7990,05,08,az
0,0.0,7,7990,06,08,az
13,2.9,7,7990,01,09,az
9,3.6,7,7990,02,09,az
6,2.9,7,7990,03,09,az
0,0.0,7,7990,04,09,az
5,0.0,7,7990,05,09,az
1,0.0,7,7990,06,09,az
15,2.9,7,7990,01,10,az
39,9.9,7,7990,02,10,az
39,11.5,7,7990,03,10,az
23,10.5,7,7990,04,10,az
1,0.0,7,7990,05,10,az
1,0.0,7,7990,06,10,az
14,1.4,7,7990,01,11,az
5,1.5,7,7990,02,11,az
5,1.2,7,7990,03,11,az
0,0.0,7,7990,04,11,az
0,0.0,7,7990,05,11,az
0,0.0,7,7990,06,11,az
12,3.4,7,7990,01,12,az
8,3.8,7,7990,02,12,az
1,0.3,7,7990,03,12,az
0,0.0,7,7990,04,12,az
0,0.0,7,7990,05,12,az
0,0.0,7,7990,06,12,az
13,2.7,7,7990,01,13,az
5,2.0,7,7990,02,13,az
3,1.2,7,7990,03,13,az
0,0.0,7,7990,04,13,az
0,0.0,7,7990,05,13,az
0,0.0,7,7990,06,13,az
6,3.0,7,7990,01,14,az
5,2.5,7,7990,02,14,az
1,0.4,7,7990,03,14,az
0,0.0,7,7990,04,14,az
0,0.0,7,7990,05,14,az
0,0.0,7,7990,06,14,az
2,1.0,7,7990,01,15,az
6,2.6,7,7990,02,15,az
1,0.2,7,7990,03,15,az
0,0.0,7,7990,04,15,az
0,0.0,7,7990,05,15,az
0,0.0,7,7990,06,15,az
5,2.1,7,7990,01,16,az
7,3.2,7,7990,02,16,az
0,0.0,7,7990,03,16,az
0,0.0,7,7990,04,16,az
0,0.0,7,7990,05,16,az
0,0.0,7,7990,06,16,az
19,3.7,9,9220,01,00,az
18,5.3,9,9220,02,00,az
19,6.3,9,9220,03,00,az
20,7.5,9,9220,03,01,az
19,4.1,9,9220,01,02,az
15,4.2,9,9220,02,02,az
0,0.0,9,9220,03,02,az
12,3.2,9,9220,01,03,az
25,5.5,9,9220,02,03,az
27,9.6,9,9220,03,03,az
20,4.5,9,9220,01,04,az
28,6.9,9,9220,02,04,az
0,0.0,9,9220,03,04,az
22,5.4,9,9220,01,05,az
25,8.1,9,9220,01,05,az
42,13.5,9,9220,03,05,az
42,14.5,9,9220,04,05,az
9,1.9,9,9220,02,06,az
3,0.8,9,9220,03,06,az
8,2.7,9,9220,03,06,az
16,3.6,9,9220,01,07,az
27,6.9,9,9220,02,07,az
9,1.5,9,9220,03,07,az
,3.0,9,9220,01,08,az
39,10.2,9,9220,02,08,az
51,15.5,9,9220,02,08,az
28,10.0,9,9220,01,09,az
48,14.1,9,9220,02,10,az
57,17.4,9,9220,02,10,az
44,17.1,9,9220,03,10,az
19,4.3,9,9220,01,12,az
28,6.8,9,9220,02,12,az
32,7.7,9,9220,01,13,az
34,10.4,9,9220,02,13,az
14,5.8,9,9220,03,13,az
8,2.2,9,9220,01,14,az
12,3.3,9,9220,02,14,az
4,1.2,9,9220,03,14,az
11,2.6,9,9220,01,15,az
18,3.9,9,9220,02,15,az
0,0.0,9,9220,03,15,az
31,8.9,9,9220,01,16,az
2,1.1,9,9220,03,16,az
33,5.3,9,9200,01,10,az
43,11.2,9,9200,02,10,az
51,15.2,9,9200,03,10,az
40,14.9,9,9200,04,10,az
5,0.7,9,9200,05,10,az
,0.0,9,9200,06,10,az
27,6.1,9,9200,01,11,az
24,5.3,9,9200,02,11,az
23,6.0,9,9200,03,11,az
8,2.7,9,9200,04,11,az
0,0.0,9,9200,05,11,az
0,0.0,9,9200,06,11,az
9,3.1,9,9200,01,12,az
11,4.7,9,9200,02,12,az
18,7.4,9,9200,03,12,az
0,0.0,9,9200,04,12,az
0,0.0,9,9200,05,12,az
0,0.0,9,9200,06,12,az
19,4.2,9,9200,01,13,az
28,8.3,9,9200,02,13,az
32,10.1,9,9200,03,13,az
7,2.0,9,9200,04,13,az
0,0.0,9,9200,05,13,az
0,0.0,9,9200,06,13,az
10,3.3,9,9200,01,14,az
11,3.4,9,9200,02,14,az
7,2.8,9,9200,03,14,az
0,0.0,9,9200,04,14,az
1,0.5,9,9200,05,14,az
0,0.0,9,9200,06,14,az
7,1.3,9,9200,01,15,az
14,3.4,9,9200,02,15,az
26,4.1,9,9200,03,15,az
0,0.0,9,9200,04,15,az
0,0.0,9,9200,05,15,az
0,0.0,9,9200,06,15,az
23,6.5,9,9200,01,16,az
31,9.5,9,9200,02,16,az
15,6.4,9,9200,03,16,az
0,0.0,9,9200,04,16,az
2,0.4,9,9200,05,16,az
0,0.0,9,9200,06,16,az
7,1.1,8,8400,01,00,az
6,1.2,8,8400,01,00,az
14,3.2,8,8400,03,00,az
10,3.7,8,8400,03,00,az
7,2.2,8,8400,01,01,az
22,4.8,8,8400,02,01,az
34,6.9,8,8400,03,01,az
15,5.7,8,8400,03,01,az
12,3.3,8,8400,01,02,az
8,2.5,8,8400,02,02,az
4,0.9,8,8400,03,02,az
11,3.1,8,8400,01,03,az
9,2.9,8,8400,01,03,az
23,5.8,8,8400,02,03,az
11,4.7,8,8400,04,03,az
18,5.5,8,8400,01,04,az
30,7.5,8,8400,02,04,az
0,0.0,8,8400,03,04,az
36,11.8,8,8400,02,05,az
47,17.5,8,8400,03,05,az
42,15.7,8,8400,03,05,az
3,0.5,8,8400,01,06,az
0,0.0,8,8400,02,06,az
17,5.3,8,8400,03,06,az
6,1.3,8,8400,01,07,az
7,1.6,8,8400,02,07,az
4,0.4,8,8400,03,07,az
38,9.0,8,8400,01,08,az
46,13.8,8,8400,03,08,az
24,9.2,8,8400,03,08,az
25,6.9,8,8400,01,09,az
14,5.4,8,8400,01,09,az
19,7.4,8,8400,03,09,az
2,0.8,8,8400,04,09,az
47,7.0,8,8400,01,10,az
61,20.7,8,8400,02,10,az
43,15.8,8,8400,03,10,az
7,2.8,8,8400,01,12,az
11,3.2,8,8400,01,12,az
24,4.2,8,8400,02,12,az
2,0.3,8,8400,03,12,az
19,6.3,8,8400,01,13,az
22,6.9,8,8400,02,13,az
3,1.1,8,8400,03,13,az
3,0.9,8,8400,01,14,az
0,0.0,8,8400,03,14,az
0,0.0,8,8400,01,15,az
9,1.6,8,8400,02,15,az
0,0.0,8,8400,03,15,az
21,5.8,8,8400,01,16,az
10,3.0,8,8400,02,16,az
3,0.3,7,7400,01,00,az
0,0.0,7,7400,01,00,az
0,0.0,7,7400,02,00,az
0,0.0,7,7400,03,00,az
2,0.4,7,7400,01,01,az
12,2.2,7,7400,02,01,az
9,2.4,7,7400,03,01,az
0,0.0,7,7400,03,01,az
8,1.6,7,7400,01,02,az
0,0.0,7,7400,02,02,az
0,0.0,7,7400,03,02,az
0,0.0,7,7400,01,03,az
20,2.4,7,7400,02,03,az
0,0.0,7,7400,03,03,az
11,1.4,7,7400,02,04,az
3,0.8,7,7400,02,04,az
0,0.0,7,7400,03,04,az
7,1.2,7,7400,01,05,az
2,0.8,7,7400,02,05,az
0,0.0,7,7400,03,05,az
0,0.0,7,7400,01,06,az
0,0.0,7,7400,02,06,az
1,0.4,7,7400,03,06,az
11,1.8,7,7400,01,07,az
4,1.1,7,7400,02,07,az
0,0.0,7,7400,03,07,az
10,3.2,7,7400,01,08,az
11,1.9,7,7400,02,08,az
0,0.0,7,7400,03,08,az
16,6.0,7,7400,01,09,az
9,3.0,7,7400,02,09,az
0,0.0,7,7400,03,09,az
13,3.6,7,7400,01,10,az
33,9.4,7,7400,01,10,az
28,9.4,7,7400,02,10,az
9,4.2,7,7400,03,10,az
6,2.6,7,7400,01,12,az
4,1.0,7,7400,02,12,az
0,0.0,7,7400,03,12,az
7,1.8,7,7400,02,13,az
6,1.6,7,7400,02,13,az
0,0.0,7,7400,03,13,az
0,0.0,7,7400,01,14,az
0,0.0,7,7400,02,14,az
0,0.0,7,7400,03,14,az
0,0.0,7,7400,01,15,az
0,0.0,7,7400,02,15,az
0,0.0,7,7400,03,15,az
10,2.6,7,7400,01,16,az
0,0.0,7,7400,02,16,az
0,0.0,7,7400,03,16,az
4,0.6,7,7100,01,00,az
0,0.0,7,7100,01,00,az
0,0.0,7,7100,02,00,az
0,0.0,7,7100,03,00,az
1,0.1,7,7100,01,01,az
11,3.1,7,7100,02,01,az
11,2.3,7,7100,03,01,az
0,0.0,7,7100,04,01,az
2,0.6,7,7100,01,02,az
0,0.0,7,7100,02,02,az
0,0.0,7,7100,03,02,az
0,0.0,7,7100,02,03,az
9,1.3,7,7100,03,03,az
0,0.0,7,7100,03,03,az
1,0.3,7,7100,01,04,az
2,0.5,7,7100,02,04,az
0,0.0,7,7100,03,04,az
10,2.0,7,7100,02,05,az
4,1.6,7,7100,03,05,az
0,0.0,7,7100,04,05,az
0,0.0,7,7100,01,06,az
0,0.0,7,7100,02,06,az
1,0.4,7,7100,03,06,az
6,0.9,7,7100,01,07,az
1,0.2,7,7100,02,07,az
0,0.0,7,7100,03,07,az
14,3.7,7,7100,01,08,az
17,6.1,7,7100,02,08,az
0,0.0,7,7100,03,08,az
11,3.8,7,7100,01,09,az
7,2.7,7,7100,02,09,az
0,0.0,7,7100,03,09,az
34,8.1,7,7100,01,10,az
29,9.6,7,7100,02,10,az
12,1.1,7,7100,03,10,az
0,0.0,7,7100,01,12,az
4,0.7,7,7100,02,12,az
0,0.0,7,7100,03,12,az
5,1.2,7,7100,01,13,az
5,1.2,7,7100,02,13,az
0,0.0,7,7100,03,13,az
0,0.2,7,7100,01,14,az
0,0.0,7,7100,02,14,az
0,0.0,7,7100,03,14,az
0,0.0,7,7100,01,15,az
1,0.1,7,7100,02,15,az
0,0.0,7,7100,03,15,az
10,3.1,7,7100,01,16,az
0,0.0,7,7100,02,16,az
0,0.0,7,7100,03,16,az
,0.0,7,7100,06,09,az
19,4.3,7,7100,01,10,az
32,8.7,7,7100,02,10,az
33,10.0,7,7100,03,10,az
,4.7,7,7100,04,10,az
0,0.0,7,7100,05,10,az
,0.0,7,7100,06,10,az
21,2.9,7,7100,01,11,az
10,2.9,7,7100,02,11,az
17,4.9,7,7100,03,11,az
0,0.0,7,7100,04,11,az
0,0.0,7,7100,05,11,az
0,0.0,7,7100,06,11,az
5,1.2,7,7100,01,12,az
4,1.3,7,7100,02,12,az
4,1.0,7,7100,03,12,az
0,0.0,7,7100,04,12,az
0,0.0,7,7100,05,12,az
0,0.0,7,7100,06,12,az
14,2.6,7,7100,01,13,az
7,1.8,7,7100,02,13,az
10,3.1,7,7100,03,13,az
0,0.0,7,7100,04,13,az
0,0.0,7,7100,05,13,az
0,0.0,7,7100,06,13,az
6,1.6,7,7100,01,14,az
3,1.2,7,7100,02,14,az
0,0.0,7,7100,03,14,az
0,0.0,7,7100,04,14,az
0,0.0,7,7100,05,14,az
0,0.0,7,7100,06,14,az
10,0.9,7,7100,01,15,az
0,0.0,7,7100,02,15,az
1,0.1,7,7100,03,15,az
0,0.0,7,7100,04,15,az
0,0.0,7,7100,05,15,az
0,0.0,7,7100,06,15,az
5,1.2,7,7100,01,16,az
14,3.9,7,7100,02,16,az
0,0.0,7,7100,03,16,az
0,0.0,7,7100,04,16,az
0,0.0,7,7100,05,16,az
0,0.0,7,7100,06,16,az
5,0.3,8,8700,01,00,az
0,0.0,8,8700,02,00,az
4,1.0,8,8700,02,00,az
5,1.5,8,8700,03,00,az
16,4.8,8,8700,01,01,az
26,5.6,8,8700,02,01,az
30,7.3,8,8700,03,01,az
12,3.7,8,8700,03,01,az
18,3.6,8,8700,02,02,az
14,3.1,8,8700,02,02,az
0,0.0,8,8700,03,02,az
13,2.8,8,8700,01,03,az
13,2.9,8,8700,01,03,az
28,4.8,8,8700,02,03,az
18,6.9,8,8700,03,03,az
6,1.1,8,8700,01,04,az
13,2.4,8,8700,01,04,az
15,3.6,8,8700,02,04,az
0,0.0,8,8700,03,04,az
16,3.6,8,8700,01,05,az
21,6.3,8,8700,03,05,az
20,7.1,8,8700,03,05,az
5,0.7,8,8700,01,06,az
0,0.0,8,8700,02,06,az
5,1.0,8,8700,03,06,az
18,2.7,8,8700,01,07,az
20,2.3,8,8700,02,07,az
0,0.0,8,8700,03,07,az
19,4.5,8,8700,01,08,az
24,7.3,8,8700,02,08,az
5,1.6,8,8700,03,08,az
17,5.2,8,8700,01,09,az
18,6.2,8,8700,02,09,az
3,1.1,8,8700,03,09,az
40,8.5,8,8700,01,10,az
38,10.7,8,8700,02,10,az
33,11.3,8,8700,03,10,az
20,4.3,8,8700,01,12,az
24,4.9,8,8700,02,12,az
7,2.1,8,8700,03,12,az
14,3.4,8,8700,01,13,az
20,5.2,8,8700,02,13,az
7,2.8,8,8700,03,13,az
7,1.2,8,8700,01,14,az
2,0.5,8,8700,02,14,az
0,0.0,8,8700,03,14,az
10,1.9,8,8700,01,15,az
7,2.0,8,8700,02,15,az
0,0.0,8,8700,03,15,az
18,4.2,8,8700,01,16,az
0,0.0,8,8700,03,16,az
2,0.2,8,8350,01,00,az
0,0.0,8,8350,01,00,az
0,0.0,8,8350,02,00,az
0,0.0,8,8350,03,00,az
0,0.0,8,8350,01,01,az
10,2.6,8,8350,02,01,az
7,1.8,8,8350,03,01,az
0,0.0,8,8350,03,01,az
4,0.6,8,8350,02,02,az
4,0.6,8,8350,02,02,az
0,0.0,8,8350,02,02,az
0,0.0,8,8350,03,02,az
6,1.6,8,8350,01,03,az
0,0.0,8,8350,01,03,az
11,2.2,8,8350,03,03,az
0,0.0,8,8350,04,03,az
4,1.1,8,8350,01,04,az
7,1.3,8,8350,02,04,az
0,0.0,8,8350,03,04,az
13,5.0,8,8350,02,05,az
11,3.9,8,8350,02,05,az
